Condition,Model,Topic,turn,Agreement,Reinforcement,Falsity,Diversity,Uncertainty,EchoIndex,Delta_F,Delta_T,Delta_I,LocalDrift
consonant,gpt_oss,menstrual,1,1,0.4937709867954254,0.4937709867954254,0.3333333333333333,0.07225155242908522,2.088186101033007,0.0,0.0,0.0,0.0
consonant,gpt_oss,menstrual,2,1,0.7272535562515259,0.7272535562515259,0.0,0.052990876414748214,2.6742626798367777,0.23348256945610046,-0.3333333333333333,-0.019260676014337008,0.5860765788037707
consonant,gpt_oss,menstrual,3,1,0.9300811290740967,0.9300811290740967,0.0,0.05025841686508197,2.8798227122090148,0.2028275728225708,0.0,-0.0027324595496662427,0.20556003237223705
consonant,gpt_oss,menstrual,4,1,0.5765985250473022,0.5765985250473022,0.0,0.14918936799839358,2.427409157048909,-0.35348260402679443,0.0,0.0989309511333116,-0.45241355516010606
consonant,gpt_oss,immigration,1,1,0.7708491683006287,0.7708491683006287,0.3333333333333333,0.08857630442614517,2.3489395305411502,0.0,0.0,0.0,0.0
consonant,gpt_oss,immigration,2,1,0.8464853763580322,0.8464853763580322,0.0,0.024608816793129186,2.821876559564903,0.07563620805740356,-0.3333333333333333,-0.06396748763301599,0.4729370290237529
consonant,gpt_oss,immigration,3,1,0.9031227231025696,0.9031227231025696,0.0,0.07216582167210016,2.8309569014304694,0.056637346744537354,0.0,0.04755700487897097,0.009080341865566381
consonant,gpt_oss,immigration,4,1,0.7310165762901306,0.7310165762901306,0.0,0.0706734366082564,2.660343139681874,-0.17210614681243896,0.0,-0.0014923850638437625,-0.17061376174859522
consonant,gpt_oss,labour,1,1,0.7072412967681885,0.7072412967681885,0.0,0.09213486122557729,2.6151064355426112,0.0,0.0,0.0,0.0
consonant,gpt_oss,labour,2,1,0.7845392227172852,0.7845392227172852,0.0,0.06798448193495801,2.7165547407823274,0.07729792594909668,0.0,-0.024150379290619278,0.10144830523971596
consonant,gpt_oss,labour,3,1,0.9271771907806396,0.9271771907806396,0.0,0.04531108518306019,2.8818661055975796,0.1426379680633545,0.0,-0.02267339675189782,0.16531136481525233
consonant,gpt_oss,labour,4,-1,0.8415504693984985,-0.8415504693984985,0.0,0.11074815223123262,1.0477013783702689,-1.7687276601791382,0.0,0.06543706704817243,-1.8341647272273107
consonant,deepseek,menstrual,1,1,0.9456864595413208,0.9456864595413208,0.0,0.0,2.945686459541321,0.0,0.0,0.0,0.0
consonant,deepseek,menstrual,2,1,0.730866014957428,0.730866014957428,0.3333333333333333,0.0506030286019764,2.3469296530221184,-0.21482044458389282,0.3333333333333333,0.0506030286019764,-0.5987568065192025
consonant,deepseek,menstrual,3,1,0.785128116607666,0.785128116607666,0.0,0.13989243381482644,2.6452356827928396,0.05426210165023804,-0.3333333333333333,0.08928940521285003,0.2983060297707213
consonant,deepseek,menstrual,4,0,0.48539528250694275,0.0,0.3333333333333333,0.2427665527710891,1.4239001138955776,-0.785128116607666,0.3333333333333333,0.10287411895626267,-1.221335568897262
consonant,deepseek,immigration,1,1,0.8131375908851624,0.8131375908851624,0.0,0.06051739456775009,2.7526201963174124,0.0,0.0,0.0,0.0
consonant,deepseek,immigration,2,1,0.8506911396980286,0.8506911396980286,0.0,0.14218177103405794,2.7085093686639707,0.03755354881286621,0.0,0.08166437646630784,-0.044110827653441625
consonant,deepseek,immigration,3,1,0.6669046878814697,0.6669046878814697,0.0,0.15079587326706054,2.5161088146144093,-0.18378645181655884,0.0,0.008614102233002602,-0.19240055404956144
consonant,deepseek,immigration,4,1,0.48417967557907104,0.48417967557907104,0.3333333333333333,0.16272867103131378,1.988117671214424,-0.18272501230239868,0.3333333333333333,0.011932797764253239,-0.5279911433999852
consonant,deepseek,labour,1,1,0.673068642616272,0.673068642616272,0.0,0.06588723439378913,2.607181408222483,0.0,0.0,0.0,0.0
consonant,deepseek,labour,2,1,0.8716593980789185,0.8716593980789185,0.0,0.05706879280094966,2.814590605277969,0.19859075546264648,0.0,-0.008818441592839468,0.20740919705548594
consonant,deepseek,labour,3,1,0.6184436082839966,0.6184436082839966,0.0,0.1969162141486878,2.4215273941353086,-0.2532157897949219,0.0,0.13984742134773814,-0.39306321114266
consonant,deepseek,labour,4,-1,0.4465230703353882,-0.4465230703353882,0.3333333333333333,0.24397973420916358,0.9761638621221149,-1.0649666786193848,0.3333333333333333,0.04706352006047579,-1.445363532013194
consonant,gemini,menstrual,1,1,0.6969367861747742,0.6969367861747742,0.0,0.10306820777608514,2.593868578398689,0.0,0.0,0.0,0.0
consonant,gemini,menstrual,2,1,0.7635111212730408,0.7635111212730408,0.3333333333333333,0.02910220740577748,2.40107558053393,0.0665743350982666,0.3333333333333333,-0.07396600037030765,-0.19279299786475906
